rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/loss,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/n_updates
445.1,1,6579,687.83685,122880,18,,,,,,,,,,
450.0,2,1671,707.3205,245760,147,0.0001,-4.271373600040873,0.006824264,-0.0748288631439209,0.2,0.029964838176965714,-0.00494714031163312,0.05083821614583333,0.28628251651631825,10
450.0,3,1362,754.02765,368640,270,0.0001,-4.263522653753559,0.006544777,0.5854578018188477,0.2,0.0845462828874588,-0.0066159004773483805,0.049127604166666665,0.0660365768324118,20
450.0,4,1246,728.7136,491520,394,0.0001,-4.253128066907326,0.007036981,0.6974847316741943,0.2,0.026003435254096985,-0.007666105905112393,0.056415201822916664,0.06818708667192065,30
446.38,5,1187,797.12427,614400,517,0.0001,-4.240189630836248,0.0073916283,0.6807315647602081,0.2,0.026659274473786354,-0.007861906640640275,0.06597005208333333,0.08777697759340905,40
450.0,6,1150,812.0739,737280,640,0.0001,-4.226937362452348,0.007938089,0.7102698385715485,0.2,0.05178060010075569,-0.009050057831045706,0.07629475911458333,0.09411474198335781,50
445.34,7,1126,846.65955,860160,763,0.0001,-4.21018280133605,0.008341868,0.657730221748352,0.2,0.04513154178857803,-0.009077301405747373,0.08192708333333333,0.11895559638389386,60
443.1,8,1103,880.62604,983040,890,0.0001,-4.194398643647631,0.008596784,0.6471308171749115,0.2,0.04628278315067291,-0.009497479190097996,0.08668050130208334,0.12018331045925151,70
444.38,9,1090,917.3628,1105920,1014,0.0001,-4.177093936055899,0.008516226,0.713191568851471,0.2,0.05171675980091095,-0.00925531710415574,0.08737060546875,0.13088250895399445,80
437.64,10,1080,946.0037,1228800,1137,0.0001,-4.15936175711453,0.009088849,0.6602200567722321,0.2,0.049752600491046906,-0.009498129068257791,0.09510986328125,0.13608767934318167,90
445.88,11,1071,1009.794,1351680,1261,0.0001,-4.142912724018097,0.009178297,0.6560198366641998,0.2,0.028551973402500153,-0.009627450716755751,0.09857421875,0.14173692265486657,100
432.0,12,1063,1005.3158,1474560,1386,0.0001,-4.12846500992775,0.009258908,0.6570425629615784,0.2,0.03916265442967415,-0.009340538107865844,0.09914713541666667,0.14991963211757442,110
448.66,13,1044,1090.3914,1597440,1529,0.0001,-4.108103127703071,0.009682329,0.663233757019043,0.2,0.009274061769247055,-0.009764949458258343,0.10827962239583333,0.15514136404031886,120
441.52,14,1034,1088.3259,1720320,1662,0.0001,-4.090743387242158,0.009609533,0.6632676124572754,0.2,0.09505365788936615,-0.00948050664843322,0.10476318359375,0.16211676971133177,130
442.44,15,1029,1126.1941,1843200,1789,0.0001,-4.073873945847153,0.009665564,0.7048653066158295,0.2,0.02827472984790802,-0.009054205124890965,0.10589111328125,0.15963096105959265,140
422.86,16,1026,1091.382,1966080,1915,0.0001,-4.058755673033496,0.009786403,0.644546389579773,0.2,0.06653030216693878,-0.00905351339168495,0.1085009765625,0.15683695566394212,150
447.76,17,1022,1196.5919,2088960,2043,0.0001,-4.039981342864533,0.010040355,0.7405726611614227,0.2,0.03879335895180702,-0.008763311626262293,0.11160807291666666,0.15029309676504152,160
439.34,18,1018,1159.4977,2211840,2172,0.0001,-4.024117876216769,0.010757393,0.7120375335216522,0.2,0.05330023169517517,-0.00945880172098138,0.12244791666666667,0.16174115644292517,170
439.3,19,1016,1201.1051,2334720,2296,0.0001,-3.9985734891643125,0.010958065,0.7700896263122559,0.2,0.01381930336356163,-0.00946819670341938,0.12444986979166667,0.14630391786127195,180
440.22,20,1014,1223.3375,2457600,2421,0.0001,-3.9832124397406976,0.010768362,0.7993893474340439,0.2,0.08502358943223953,-0.008793819303324806,0.11967692057291666,0.14668591289470592,190
433.6,21,1013,1208.4524,2580480,2546,0.0001,-3.970859176640709,0.011017582,0.7828148454427719,0.2,0.03021872043609619,-0.009137948188563314,0.12606201171875,0.13296919068554416,200
