2024-03-01 21:56:48.936838
Logging to Training/Logs/TekusReward1-1B-FINAL
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 450       |
|    ep_rew_mean     | 1168.4667 |
| time/              |           |
|    fps             | 6299      |
|    iterations      | 1         |
|    time_elapsed    | 19        |
|    total_timesteps | 122880    |
----------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 1199.1984  |
| time/                   |            |
|    fps                  | 1385       |
|    iterations           | 2          |
|    time_elapsed         | 177        |
|    total_timesteps      | 245760     |
| train/                  |            |
|    approx_kl            | 0.04547181 |
|    clip_fraction        | 0.391      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.54      |
|    explained_variance   | 0.24       |
|    learning_rate        | 0.0002     |
|    loss                 | -0.0326    |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.0197    |
|    value_loss           | 0.164      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1200.287    |
| time/                   |             |
|    fps                  | 1091        |
|    iterations           | 3           |
|    time_elapsed         | 337         |
|    total_timesteps      | 368640      |
| train/                  |             |
|    approx_kl            | 0.045342144 |
|    clip_fraction        | 0.393       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.54       |
|    explained_variance   | 0.438       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.028      |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0222     |
|    value_loss           | 0.0569      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 1213.6335  |
| time/                   |            |
|    fps                  | 989        |
|    iterations           | 4          |
|    time_elapsed         | 496        |
|    total_timesteps      | 491520     |
| train/                  |            |
|    approx_kl            | 0.04757103 |
|    clip_fraction        | 0.401      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.51      |
|    explained_variance   | 0.601      |
|    learning_rate        | 0.0002     |
|    loss                 | -0.0329    |
|    n_updates            | 320        |
|    policy_gradient_loss | -0.0226    |
|    value_loss           | 0.0593     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 436         |
|    ep_rew_mean          | 1217.0193   |
| time/                   |             |
|    fps                  | 914         |
|    iterations           | 5           |
|    time_elapsed         | 671         |
|    total_timesteps      | 614400      |
| train/                  |             |
|    approx_kl            | 0.049871787 |
|    clip_fraction        | 0.409       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.49       |
|    explained_variance   | 0.631       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.00307     |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0219     |
|    value_loss           | 0.0847      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1304.5082   |
| time/                   |             |
|    fps                  | 888         |
|    iterations           | 6           |
|    time_elapsed         | 830         |
|    total_timesteps      | 737280      |
| train/                  |             |
|    approx_kl            | 0.050764807 |
|    clip_fraction        | 0.413       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.45       |
|    explained_variance   | 0.664       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.0403     |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0217     |
|    value_loss           | 0.0828      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 425         |
|    ep_rew_mean          | 1231.2828   |
| time/                   |             |
|    fps                  | 870         |
|    iterations           | 7           |
|    time_elapsed         | 988         |
|    total_timesteps      | 860160      |
| train/                  |             |
|    approx_kl            | 0.050611224 |
|    clip_fraction        | 0.413       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.44       |
|    explained_variance   | 0.61        |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0326      |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0205     |
|    value_loss           | 0.107       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1290.8448   |
