2024-02-25 11:53:18.193595
Logging to Training/Logs/TekusGamma96
Using cpu device
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 450       |
|    ep_rew_mean     | 673.64703 |
| time/              |           |
|    fps             | 6726      |
|    iterations      | 1         |
|    time_elapsed    | 18        |
|    total_timesteps | 122880    |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 786.9303    |
| time/                   |             |
|    fps                  | 1615        |
|    iterations           | 2           |
|    time_elapsed         | 152         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.008477195 |
|    clip_fraction        | 0.0704      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.27       |
|    explained_variance   | 0.0712      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0255      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00629    |
|    value_loss           | 0.244       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 731.5982    |
| time/                   |             |
|    fps                  | 1298        |
|    iterations           | 3           |
|    time_elapsed         | 283         |
|    total_timesteps      | 368640      |
| train/                  |             |
|    approx_kl            | 0.009681481 |
|    clip_fraction        | 0.0939      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.26       |
|    explained_variance   | 0.691       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0207      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00931    |
|    value_loss           | 0.0899      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 728.4216    |
| time/                   |             |
|    fps                  | 1200        |
|    iterations           | 4           |
|    time_elapsed         | 409         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.011229432 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.25       |
|    explained_variance   | 0.744       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0418      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0116     |
|    value_loss           | 0.091       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 407         |
|    ep_rew_mean          | 697.25385   |
| time/                   |             |
|    fps                  | 1150        |
|    iterations           | 5           |
|    time_elapsed         | 533         |
|    total_timesteps      | 614400      |
| train/                  |             |
|    approx_kl            | 0.011908714 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.759       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0372      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0119     |
|    value_loss           | 0.0983      |
-----------------------------------------
