2024-02-23 21:28:34.837878
Logging to Training/Logs/TekusLR0002
Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 450      |
|    ep_rew_mean     | 673.9498 |
| time/              |          |
|    fps             | 6557     |
|    iterations      | 1        |
|    time_elapsed    | 18       |
|    total_timesteps | 122880   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 667.8796    |
| time/                   |             |
|    fps                  | 1653        |
|    iterations           | 2           |
|    time_elapsed         | 148         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.007521079 |
|    clip_fraction        | 0.0589      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.27       |
|    explained_variance   | 0.114       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.0186     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00548    |
|    value_loss           | 0.263       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 727.43066  |
| time/                   |            |
|    fps                  | 1334       |
|    iterations           | 3          |
|    time_elapsed         | 276        |
|    total_timesteps      | 368640     |
| train/                  |            |
|    approx_kl            | 0.00869579 |
|    clip_fraction        | 0.0797     |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.26      |
|    explained_variance   | 0.687      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0159     |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.00879   |
|    value_loss           | 0.0544     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 746.88776   |
| time/                   |             |
|    fps                  | 1223        |
|    iterations           | 4           |
|    time_elapsed         | 401         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.009281409 |
|    clip_fraction        | 0.0926      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.25       |
|    explained_variance   | 0.708       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0383      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00987    |
|    value_loss           | 0.0679      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 446         |
|    ep_rew_mean          | 759.0784    |
| time/                   |             |
|    fps                  | 1158        |
|    iterations           | 5           |
|    time_elapsed         | 530         |
|    total_timesteps      | 614400      |
| train/                  |             |
|    approx_kl            | 0.009885315 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.688       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0769      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0102     |
|    value_loss           | 0.102       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 829.06836   |
| time/                   |             |
|    fps                  | 1108        |
|    iterations           | 6           |
|    time_elapsed         | 665         |
|    total_timesteps      | 737280      |
| train/                  |             |
|    approx_kl            | 0.010378869 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.22       |
|    explained_variance   | 0.705       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.000152   |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0104     |
|    value_loss           | 0.104       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 896.15704   |
| time/                   |             |
|    fps                  | 1083        |
|    iterations           | 7           |
|    time_elapsed         | 794         |
|    total_timesteps      | 860160      |
| train/                  |             |
|    approx_kl            | 0.011087533 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | 0.681       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.108       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0109     |
|    value_loss           | 0.114       |
