2024-02-15 16:06:58.076030
Logging to Training/Logs/TekusRewardOne-OneC
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 450       |
|    ep_rew_mean     | 1143.4586 |
| time/              |           |
|    fps             | 6716      |
|    iterations      | 1         |
|    time_elapsed    | 18        |
|    total_timesteps | 122880    |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1117.0299   |
| time/                   |             |
|    fps                  | 1589        |
|    iterations           | 2           |
|    time_elapsed         | 154         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.018125925 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.01       |
|    explained_variance   | 0.717       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0562      |
|    n_updates            | 3270        |
|    policy_gradient_loss | -6.02e-05   |
|    value_loss           | 0.389       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1127.5576   |
| time/                   |             |
|    fps                  | 1258        |
|    iterations           | 3           |
|    time_elapsed         | 292         |
|    total_timesteps      | 368640      |
| train/                  |             |
|    approx_kl            | 0.017109876 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.02       |
|    explained_variance   | 0.784       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0161      |
|    n_updates            | 3280        |
|    policy_gradient_loss | -0.000121   |
|    value_loss           | 0.144       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1186.2875   |
| time/                   |             |
|    fps                  | 1147        |
|    iterations           | 4           |
|    time_elapsed         | 428         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.019537779 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.02       |
|    explained_variance   | 0.814       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0585      |
|    n_updates            | 3290        |
|    policy_gradient_loss | -0.000858   |
|    value_loss           | 0.118       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1096.235    |
| time/                   |             |
|    fps                  | 1091        |
|    iterations           | 5           |
|    time_elapsed         | 562         |
|    total_timesteps      | 614400      |
| train/                  |             |
|    approx_kl            | 0.018313153 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.03       |
|    explained_variance   | 0.805       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0701      |
|    n_updates            | 3300        |
|    policy_gradient_loss | -0.000923   |
|    value_loss           | 0.134       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1071.0555   |
| time/                   |             |
|    fps                  | 1054        |
|    iterations           | 6           |
|    time_elapsed         | 698         |
|    total_timesteps      | 737280      |
| train/                  |             |
|    approx_kl            | 0.017092897 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.07       |
|    explained_variance   | 0.782       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0243      |
|    n_updates            | 3310        |
|    policy_gradient_loss | -0.000114   |
|    value_loss           | 0.111       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1146.42     |
| time/                   |             |
|    fps                  | 1029        |
|    iterations           | 7           |
|    time_elapsed         | 835         |
|    total_timesteps      | 860160      |
| train/                  |             |
|    approx_kl            | 0.018033748 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.05       |
|    explained_variance   | 0.75        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.117       |
|    n_updates            | 3320        |
|    policy_gradient_loss | -0.000624   |
|    value_loss           | 0.124       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1138.0042   |
| time/                   |             |
|    fps                  | 1013        |
|    iterations           | 8           |
|    time_elapsed         | 970         |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.018398209 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2          |
|    explained_variance   | 0.79        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0335      |
|    n_updates            | 3330        |
|    policy_gradient_loss | -0.00031    |
|    value_loss           | 0.0904      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1147.7562   |
| time/                   |             |
|    fps                  | 999         |
|    iterations           | 9           |
|    time_elapsed         | 1106        |
|    total_timesteps      | 1105920     |
| train/                  |             |
|    approx_kl            | 0.016126094 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.15       |
|    explained_variance   | 0.719       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0743      |
|    n_updates            | 3340        |
|    policy_gradient_loss | -0.00019    |
|    value_loss           | 0.111       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1160.364    |
| time/                   |             |
|    fps                  | 982         |
|    iterations           | 10          |
|    time_elapsed         | 1250        |
|    total_timesteps      | 1228800     |
| train/                  |             |
|    approx_kl            | 0.017079147 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.15       |
|    explained_variance   | 0.753       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0605      |
|    n_updates            | 3350        |
|    policy_gradient_loss | -0.000473   |
|    value_loss           | 0.0959      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1187.3322   |
| time/                   |             |
|    fps                  | 975         |
|    iterations           | 11          |
|    time_elapsed         | 1385        |
|    total_timesteps      | 1351680     |
| train/                  |             |
|    approx_kl            | 0.018990899 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.05       |
|    explained_variance   | 0.713       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00487    |
|    n_updates            | 3360        |
|    policy_gradient_loss | -0.000109   |
|    value_loss           | 0.111       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1176.4637   |
| time/                   |             |
|    fps                  | 965         |
|    iterations           | 12          |
|    time_elapsed         | 1526        |
|    total_timesteps      | 1474560     |
| train/                  |             |
|    approx_kl            | 0.014941975 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.03       |
|    explained_variance   | 0.718       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.125       |
|    n_updates            | 3370        |
|    policy_gradient_loss | -8.83e-05   |
|    value_loss           | 0.129       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1109.2856   |
| time/                   |             |
|    fps                  | 959         |
|    iterations           | 13          |
|    time_elapsed         | 1664        |
|    total_timesteps      | 1597440     |
| train/                  |             |
|    approx_kl            | 0.017422693 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.98       |
|    explained_variance   | 0.806       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0232      |
|    n_updates            | 3380        |
|    policy_gradient_loss | -0.00119    |
|    value_loss           | 0.0996      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 450          |
|    ep_rew_mean          | 1177.0973    |
| time/                   |              |
|    fps                  | 953          |
|    iterations           | 14           |
|    time_elapsed         | 1803         |
|    total_timesteps      | 1720320      |
| train/                  |              |
|    approx_kl            | 0.0141653875 |
|    clip_fraction        | 0.116        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.08        |
|    explained_variance   | 0.782        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0265       |
|    n_updates            | 3390         |
|    policy_gradient_loss | -0.000208    |
|    value_loss           | 0.116        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1151.65     |
| time/                   |             |
|    fps                  | 949         |
|    iterations           | 15          |
|    time_elapsed         | 1940        |
|    total_timesteps      | 1843200     |
| train/                  |             |
|    approx_kl            | 0.015416917 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2          |
|    explained_variance   | 0.792       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00651     |
|    n_updates            | 3400        |
|    policy_gradient_loss | -6.59e-05   |
|    value_loss           | 0.111       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 450          |
|    ep_rew_mean          | 1151.6849    |
| time/                   |              |
|    fps                  | 937          |
|    iterations           | 16           |
|    time_elapsed         | 2097         |
|    total_timesteps      | 1966080      |
| train/                  |              |
|    approx_kl            | 0.0141069405 |
|    clip_fraction        | 0.115        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.06        |
|    explained_variance   | 0.713        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0136       |
|    n_updates            | 3410         |
|    policy_gradient_loss | -0.000444    |
|    value_loss           | 0.128        |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 1163.6888  |
| time/                   |            |
|    fps                  | 934        |
|    iterations           | 17         |
|    time_elapsed         | 2234       |
|    total_timesteps      | 2088960    |
| train/                  |            |
|    approx_kl            | 0.01370029 |
