2024-02-15 16:02:10.478204
Logging to Training/Logs/TekusLR0005
Using cpu device
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 438       |
|    ep_rew_mean     | 708.32153 |
| time/              |           |
|    fps             | 6669      |
|    iterations      | 1         |
|    time_elapsed    | 18        |
|    total_timesteps | 122880    |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 724.1106    |
| time/                   |             |
|    fps                  | 1671        |
|    iterations           | 2           |
|    time_elapsed         | 147         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.008976977 |
|    clip_fraction        | 0.0748      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.27       |
|    explained_variance   | -0.199      |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0242     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00577    |
|    value_loss           | 0.242       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 445          |
|    ep_rew_mean          | 730.0139     |
| time/                   |              |
|    fps                  | 1355         |
|    iterations           | 3            |
|    time_elapsed         | 272          |
|    total_timesteps      | 368640       |
| train/                  |              |
|    approx_kl            | 0.0107818805 |
|    clip_fraction        | 0.109        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.26        |
|    explained_variance   | 0.576        |
|    learning_rate        | 0.0005       |
|    loss                 | 0.012        |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00836     |
|    value_loss           | 0.0465       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 439         |
|    ep_rew_mean          | 741.3385    |
| time/                   |             |
|    fps                  | 1231        |
|    iterations           | 4           |
|    time_elapsed         | 399         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.012104778 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.25       |
|    explained_variance   | 0.655       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0244     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00886    |
|    value_loss           | 0.0663      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 447         |
|    ep_rew_mean          | 767.3768    |
| time/                   |             |
|    fps                  | 1163        |
|    iterations           | 5           |
|    time_elapsed         | 527         |
|    total_timesteps      | 614400      |
| train/                  |             |
|    approx_kl            | 0.013810257 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.645       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.00648     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0101     |
|    value_loss           | 0.0879      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 437         |
|    ep_rew_mean          | 763.87195   |
| time/                   |             |
|    fps                  | 1127        |
|    iterations           | 6           |
|    time_elapsed         | 653         |
|    total_timesteps      | 737280      |
| train/                  |             |
|    approx_kl            | 0.014504508 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.22       |
|    explained_variance   | 0.692       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.0505      |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0104     |
|    value_loss           | 0.0881      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 444         |
|    ep_rew_mean          | 837.3036    |
| time/                   |             |
|    fps                  | 1100        |
|    iterations           | 7           |
|    time_elapsed         | 781         |
|    total_timesteps      | 860160      |
| train/                  |             |
|    approx_kl            | 0.015357628 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | 0.672       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.0517      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00954    |
|    value_loss           | 0.0978      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 445         |
|    ep_rew_mean          | 855.77454   |
| time/                   |             |
|    fps                  | 1080        |
|    iterations           | 8           |
|    time_elapsed         | 909         |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.016182397 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.2        |
|    explained_variance   | 0.637       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.0123      |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00951    |
|    value_loss           | 0.101       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 441         |
|    ep_rew_mean          | 883.03705   |
| time/                   |             |
|    fps                  | 1048        |
|    iterations           | 9           |
|    time_elapsed         | 1055        |
|    total_timesteps      | 1105920     |
| train/                  |             |
|    approx_kl            | 0.016972912 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.19       |
|    explained_variance   | 0.639       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.0405      |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0094     |
|    value_loss           | 0.106       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 931.2865   |
| time/                   |            |
|    fps                  | 1039       |
|    iterations           | 10         |
|    time_elapsed         | 1182       |
|    total_timesteps      | 1228800    |
| train/                  |            |
|    approx_kl            | 0.01784972 |
|    clip_fraction        | 0.203      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.17      |
|    explained_variance   | 0.675      |
|    learning_rate        | 0.0005     |
|    loss                 | 0.0275     |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.00951   |
|    value_loss           | 0.102      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 957.252     |
| time/                   |             |
|    fps                  | 1031        |
|    iterations           | 11          |
|    time_elapsed         | 1309        |
|    total_timesteps      | 1351680     |
| train/                  |             |
|    approx_kl            | 0.018322937 |
|    clip_fraction        | 0.206       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.16       |
|    explained_variance   | 0.633       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0222     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00885    |
|    value_loss           | 0.12        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 993.1794    |
| time/                   |             |
|    fps                  | 1024        |
|    iterations           | 12          |
|    time_elapsed         | 1439        |
|    total_timesteps      | 1474560     |
| train/                  |             |
|    approx_kl            | 0.019038867 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.15       |
|    explained_variance   | 0.674       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.0523      |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00825    |
|    value_loss           | 0.127       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 442         |
|    ep_rew_mean          | 1027.2268   |
| time/                   |             |
|    fps                  | 1019        |
|    iterations           | 13          |
|    time_elapsed         | 1566        |
|    total_timesteps      | 1597440     |
| train/                  |             |
|    approx_kl            | 0.019597681 |
|    clip_fraction        | 0.215       |
