2024-02-22 15:31:22.210134
Logging to Training/Logs/TekusGAEL96
Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 440      |
|    ep_rew_mean     | 700.6273 |
| time/              |          |
|    fps             | 6692     |
|    iterations      | 1        |
|    time_elapsed    | 18       |
|    total_timesteps | 122880   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 449         |
|    ep_rew_mean          | 721.9495    |
| time/                   |             |
|    fps                  | 1639        |
|    iterations           | 2           |
|    time_elapsed         | 149         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.008563778 |
|    clip_fraction        | 0.0723      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.27       |
|    explained_variance   | 0.295       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0494      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00628    |
|    value_loss           | 0.294       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 444        |
|    ep_rew_mean          | 720.5595   |
| time/                   |            |
|    fps                  | 1344       |
|    iterations           | 3          |
|    time_elapsed         | 274        |
|    total_timesteps      | 368640     |
| train/                  |            |
|    approx_kl            | 0.00969735 |
|    clip_fraction        | 0.0952     |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.26      |
|    explained_variance   | 0.681      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0302     |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.0097    |
|    value_loss           | 0.0695     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 448         |
|    ep_rew_mean          | 737.34784   |
| time/                   |             |
|    fps                  | 1206        |
|    iterations           | 4           |
|    time_elapsed         | 407         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.010337115 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.25       |
|    explained_variance   | 0.704       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0295      |
