2024-02-12 18:22:23.450695
Logging to Training/Logs/TekusRewardOne-OneA
Using cpu device
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 438       |
|    ep_rew_mean     | 29.569675 |
| time/              |           |
|    fps             | 6500      |
|    iterations      | 1         |
|    time_elapsed    | 18        |
|    total_timesteps | 122880    |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 73.264404   |
| time/                   |             |
|    fps                  | 1681        |
|    iterations           | 2           |
|    time_elapsed         | 146         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.009280102 |
|    clip_fraction        | 0.0783      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.27       |
|    explained_variance   | -0.0965     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0589      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00688    |
|    value_loss           | 0.282       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 38.860012   |
| time/                   |             |
|    fps                  | 1358        |
|    iterations           | 3           |
|    time_elapsed         | 271         |
|    total_timesteps      | 368640      |
| train/                  |             |
|    approx_kl            | 0.009958094 |
|    clip_fraction        | 0.1         |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.26       |
|    explained_variance   | 0.481       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00656     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00972    |
|    value_loss           | 0.0955      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 444         |
|    ep_rew_mean          | 67.20481    |
| time/                   |             |
|    fps                  | 1242        |
|    iterations           | 4           |
|    time_elapsed         | 395         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.010861946 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.25       |
|    explained_variance   | 0.549       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0366      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0107     |
|    value_loss           | 0.0956      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 73.96142    |
| time/                   |             |
|    fps                  | 1141        |
|    iterations           | 5           |
|    time_elapsed         | 538         |
|    total_timesteps      | 614400      |
| train/                  |             |
|    approx_kl            | 0.011718883 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.58        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0151      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.011      |
|    value_loss           | 0.0934      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 449         |
|    ep_rew_mean          | 61.665226   |
| time/                   |             |
|    fps                  | 1112        |
|    iterations           | 6           |
|    time_elapsed         | 662         |
|    total_timesteps      | 737280      |
| train/                  |             |
|    approx_kl            | 0.012576895 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.22       |
|    explained_variance   | 0.618       |
